"id_category";"title";"description";"image";"total_interest";"total_post";"total_like";"total_trivia";"flag";"status";"date_created";"date_updated";"id_category_up";"private";"group";"latitude";"location";"id_owner";"fun";"subscribe_fcm";"lat";"lng";"country"
98;"Gym Clubs";"Gym sport clubs. Salles de sport. Gimnasios.";"https://hobbies.fboys.app/upload/assets/categs/gymClub.jpg";7;0;0;0;1;1;"2022-03-09 13:00:06";"2022-03-24 14:03:09";0;0;0;"";"";8;0;"";0.0;0.0;"FR"
99;"Travel";"Voyage. Viajar";"https://hobbies.fboys.app/upload/assets/categs/travel.jpg";47;5;0;0;1;1;"2022-03-09 13:04:37";"2022-03-24 10:39:54";0;0;0;"";"";8;0;"";0.0;0.0;"FR"
100;"Work";"Professionnals";"https://hobbies.fboys.app/upload/assets/categs/work.jpg";7;0;0;0;1;1;"2022-03-09 13:12:10";"2022-03-09 13:12:10";0;0;0;"";"";8;0;"";0.0;0.0;"FR"
101;"Entertainment";"Divertissements. Entretenimiento";"https://hobbies.fboys.app/upload/assets/categs/entertainement.jpg";5;0;0;0;1;1;"2022-03-09 13:16:45";"2022-03-24 14:21:08";0;0;0;"";"";8;0;"";0.0;0.0;"FR"
102;"Wellness";"Bien-être. Bienestar";"https://hobbies.fboys.app/upload/assets/categs/wellness.PNG";4;0;0;0;1;1;"2022-03-09 13:23:04";"2022-04-10 10:26:43";0;0;0;"";"";8;0;"";0.0;0.0;"FR"
103;"The Scene";"Le milieu. El ambiente";"https://hobbies.fboys.app/upload/assets/categs/meetup.jpg";9;2;0;0;1;0;"2022-03-09 13:24:56";"2022-03-23 16:07:50";0;0;0;"";"";8;1;"";0.0;0.0;"FR"
109;"Musicals";"Musicals";"https://hobbies.fboys.app/upload/assets/categs/musicals.png";3;0;0;0;1;1;"2022-03-09 14:36:26";"2022-03-09 14:36:26";101;0;1;"";"";8;0;"";0.0;0.0;"FR"
110;"Sauna";"Sauna";"https://hobbies.fboys.app/upload/assets/categs/sauna.jpg";20;0;0;0;1;0;"2022-03-09 14:38:25";"2022-03-09 14:38:25";103;0;1;"";"";8;1;"";0.0;0.0;"FR"
111;"Cinema";"Cinema";"https://hobbies.fboys.app/upload/assets/categs/cinema.jpg";4;0;0;0;1;1;"2022-03-09 14:41:30";"2022-03-09 14:41:30";101;0;1;"";"";8;0;"";0.0;0.0;"FR"
112;"Ballet";"Ballet";"https://hobbies.fboys.app/upload/assets/categs/ballet.png";7;1;0;0;1;1;"2022-03-09 14:42:36";"2022-05-23 16:10:54";101;0;1;"";"";8;0;"";0.0;0.0;"FR"
113;"Opera";"Opera";"https://hobbies.fboys.app/upload/assets/categs/opera.jpg";3;0;0;0;1;1;"2022-03-09 14:43:15";"2022-05-23 16:17:21";101;0;1;"";"";8;0;"";0.0;0.0;"FR"
114;"Cercles Forme 3è";"Cercles de la Forme Paris Beauboug";"https://hobbies.fboys.app/upload/post/7_20220309144944_4188.jpg";5;0;0;0;1;1;"2022-03-09 14:50:07";"2022-03-23 12:06:59";98;1;1;"48.87555666666667,2.34201";"Paris FR";344;0;"";0.0;0.0;"FR"
117;"Sports";"Sports. Deportes";"https://hobbies.fboys.app/upload/assets/categs/sport.PNG";22;4;0;0;1;1;"2022-03-09 22:44:22";"2022-05-23 15:50:54";0;0;0;"";"";8;0;"";0.0;0.0;"FR"
